TagId,Time.local,NodeId,TagRSSI
1919552D,2022-03-08T12:55:04Z,3774a7,-97
1919552D,2022-03-08T12:55:09Z,3774a7,-93
1919552D,2022-03-08T12:55:14Z,3774a7,-94
1919552D,2022-03-08T12:55:19Z,3774a7,-93
1919552D,2022-03-08T12:55:24Z,3774a7,-102
1919552D,2022-03-08T12:55:29Z,3774a7,-100
1919552D,2022-03-08T12:55:34Z,3774a7,-100
1919552D,2022-03-08T12:55:39Z,3774a7,-100
1919552D,2022-03-08T12:55:44Z,3774a7,-103
1919552D,2022-03-08T12:55:49Z,3774a7,-100
1919552D,2022-03-08T12:55:54Z,3774a7,-102
1919552D,2022-03-08T12:55:59Z,3774a7,-104
1919552D,2022-03-08T12:56:04Z,3774a7,-103
1919552D,2022-03-08T12:56:09Z,3774a7,-95
1919552D,2022-03-08T12:54:09Z,37a5e9,-100
1919552D,2022-03-08T12:54:14Z,37a5e9,-103
1919552D,2022-03-08T12:54:19Z,37a5e9,-97
1919552D,2022-03-08T12:54:24Z,37a5e9,-103
1919552D,2022-03-08T12:54:29Z,37a5e9,-100
1919552D,2022-03-08T12:54:34Z,37a5e9,-99
1919552D,2022-03-08T12:54:39Z,37a5e9,-97
1919552D,2022-03-08T12:54:44Z,37a5e9,-100
1919552D,2022-03-08T12:54:49Z,37a5e9,-103
1919552D,2022-03-08T12:54:54Z,37a5e9,-98
1919552D,2022-03-08T12:54:59Z,37a5e9,-103
1919552D,2022-03-08T12:55:14Z,37a5e9,-106
1919552D,2022-03-08T12:55:24Z,37a5e9,-108
1919552D,2022-03-08T12:55:34Z,37a5e9,-108
1919552D,2022-03-08T12:55:39Z,37a5e9,-107
1919552D,2022-03-08T12:55:44Z,37a5e9,-106
1919552D,2022-03-08T12:55:49Z,37a5e9,-108
1919552D,2022-03-08T12:55:54Z,37a5e9,-106
1919552D,2022-03-08T12:55:59Z,37a5e9,-104
1919552D,2022-03-08T12:56:09Z,37a5e9,-103
1919552D,2022-03-08T12:56:14Z,37a5e9,-107
1919552D,2022-03-08T12:56:19Z,37a5e9,-106
1919552D,2022-03-08T12:53:51Z,328840,-93
1919552D,2022-03-08T12:54:09Z,328840,-78
1919552D,2022-03-08T12:54:14Z,328840,-78
1919552D,2022-03-08T12:54:19Z,328840,-80
1919552D,2022-03-08T12:54:24Z,328840,-78
1919552D,2022-03-08T12:54:29Z,328840,-78
1919552D,2022-03-08T12:54:34Z,328840,-80
1919552D,2022-03-08T12:54:39Z,328840,-88
1919552D,2022-03-08T12:54:44Z,328840,-74
1919552D,2022-03-08T12:54:49Z,328840,-82
1919552D,2022-03-08T12:54:54Z,328840,-77
1919552D,2022-03-08T12:54:59Z,328840,-83
1919552D,2022-03-08T12:55:09Z,328840,-101
1919552D,2022-03-08T12:55:14Z,328840,-96
