ModifyDate,AbsoluteAltitude,GPSLatitude,GPSLongitude
2022:06:18 11:00:35,+3339.59,4.525507,-73.7730682222222
2022:06:18 11:01:23,+3320.99,4.52588061111111,-73.7728466666667
2022:06:18 11:01:47,+3313.29,4.52637522222222,-73.7727379166667
2022:06:18 11:02:07,+3293.09,4.52724,-73.7726829166667
2022:06:18 11:02:28,+3273.49,4.52786152777778,-73.7724342777778
2022:06:18 11:02:49,+3262.69,4.52844661111111,-73.7718925
2022:06:18 11:03:04,+3254.09,4.52851619444444,-73.7715005
2022:06:18 11:03:17,+3246.99,4.52873813888889,-73.7710898611111
2022:06:18 11:03:27,+3240.89,4.52860813888889,-73.7707279166667
2022:06:18 11:03:38,+3236.99,4.5287325,-73.7705247777778
2022:06:18 11:03:52,+3233.49,4.52846913888889,-73.7703123055555
2022:06:18 11:04:03,+3232.19,4.52868225,-73.7701760833333
2022:06:18 11:04:15,+3231.89,4.52903391666667,-73.7701250833333
2022:06:18 11:04:28,+3232.29,4.52940186111111,-73.7701956666667
2022:06:18 11:04:42,+3229.99,4.52909558333333,-73.7698770555556
2022:06:18 11:04:55,+3228.69,4.52875244444444,-73.7696850555556
2022:06:18 11:05:07,+3227.69,4.52861402777778,-73.769388
2022:06:18 11:05:23,+3238.09,4.52822197222222,-73.7689947777778
2022:06:18 11:05:35,+3238.79,4.52776911111111,-73.7688179444445
2022:06:18 11:05:49,+3242.79,4.52719547222222,-73.7687036388889
2022:06:18 11:06:04,+3240.39,4.52698336111111,-73.7684284722222
2022:06:18 11:06:16,+3236.29,4.52674522222222,-73.7679691944444
2022:06:18 11:06:26,+3235.29,4.52638730555556,-73.7677164722222
2022:06:18 11:06:37,+3234.49,4.52630555555556,-73.7673163055556
2022:06:18 11:06:49,+3238.49,4.52588375,-73.7674421666667
2022:06:18 11:07:02,+3237.59,4.52572475,-73.7677737777778
2022:06:18 11:07:20,+3237.39,4.52544916666667,-73.7683353055556
2022:06:18 11:07:32,+3239.59,4.52535788888889,-73.7686443611111
2022:06:18 11:07:43,+3244.09,4.52512058333333,-73.7688901944444
2022:06:18 11:07:54,+3255.99,4.52499419444444,-73.7690275555556
2022:06:18 11:08:06,+3267.89,4.52473408333333,-73.7692921666667
2022:06:18 11:08:18,+3274.69,4.52450330555556,-73.7695527222222
2022:06:18 11:08:30,+3275.89,4.52442875,-73.7698235555556
2022:06:18 11:08:39,+3278.39,4.52439716666667,-73.770143
2022:06:18 11:08:51,+3276.49,4.52459880555556,-73.7702264444444
2022:06:18 11:09:11,+3259.59,4.52542247222222,-73.7705858055556
2022:06:18 11:09:29,+3272.79,4.52627786111111,-73.77093375
2022:06:18 11:09:38,+3280.39,4.52650152777778,-73.7710971388889
2022:06:18 11:09:50,+3292.29,4.52670475,-73.7712967777778
2022:06:18 11:10:12,+3267.29,4.52786433333333,-73.7719646666667
2022:06:18 11:10:22,+3270.99,4.52790105555556,-73.7722052777778
2022:06:18 11:10:40,+3279.09,4.52729127777778,-73.7720329444444
2022:06:18 11:10:57,+3302.39,4.52679019444444,-73.7718926111111
2022:06:18 11:11:10,+3291.49,4.5263575,-73.7716954444444
2022:06:18 11:11:30,+3288.39,4.52681233333333,-73.7709031111111
2022:06:18 11:12:00,+3282.09,4.52715108333333,-73.77041975
2022:06:18 11:12:21,+3257.69,4.52748186111111,-73.7706330277778
2022:06:18 11:12:39,+3239.59,4.52792572222222,-73.7701032777778
2022:06:18 11:12:57,+3270.09,4.52736497222222,-73.7698388611111
2022:06:18 11:13:29,+3242.49,4.52582936111111,-73.7694068888889
2022:06:18 11:13:52,+3244.19,4.52474525,-73.7682616111111
2022:06:18 11:14:06,+3260.09,4.52459852777778,-73.7690138611111
2022:06:18 11:14:15,+3267.49,4.52434583333333,-73.7693483611111
2022:06:18 11:14:28,+3281.39,4.52414369444444,-73.7698770277778
2022:06:18 11:14:40,+3288.09,4.52398044444444,-73.7702538611111
2022:06:18 11:14:54,+3291.99,4.52430030555556,-73.770932
2022:06:18 11:15:05,+3301.19,4.52449861111111,-73.7714520277778
2022:06:18 11:15:21,+3285.79,4.52542175,-73.7714642777778
2022:06:18 11:15:36,+3301.19,4.52528755555556,-73.7722202222222
2022:06:18 11:15:49,+3328.59,4.52519747222222,-73.77274925
2022:06:18 11:16:03,+3344.09,4.52503011111111,-73.7729323055556
2022:06:18 11:16:10,+3349.19,4.52517380555556,-73.7731005555556
