time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-06-18 13:16:43,4.52534336436953,-73.7734255062265,0,Available with any HD 360 subscription,Available with any HD 360 subscription,10834.583218754,0.328084,0,0,0,9,4,0,10834.583218754,0,0,0,0,0,0,73.9, -5.6, -4.1,0,0,1024,1024,1024,1024,0,0,0,0,72.7,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
100,2022-06-18 13:16:43,4.52534341762843,-73.7734254753705,0,,,10834.583218754,0.328084,0,0.0224395020304,0.0224395020304,9,4,0,10834.583218754,0,0,0.0224395020304,0,0,0,73.5, -5.7, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,73,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
200,2022-06-18 13:16:43,4.52534326169841,-73.7734253916549,0,,,10834.583218754,0.328084,0,0.056032810192,0.086966210132,9,4,0,10834.583218754,0,0,0.056032810192,0,0,0,71.5, -6.2, -2.3,0,0,428,783,364,1670,-90,-37,-100,98,72.5,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
300,2022-06-18 13:16:44,4.52534325118149,-73.7734253525381,0,,,10834.583218754,0.328084,0,0.069498361804,0.101701774908,9,4,0,10834.583218754,0,0,0.069498361804,0,0,0,69.4, -6.1, -0.8,0,0,1000,1024,544,1553,-4,0,-73,80,70.8,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
400,2022-06-18 13:16:44,4.52534297624682,-73.7734256242951,0,,,10834.583218754,0.328084,0,0.147974414184,0.242526582564,9,4,0,10834.583218754,0,0,0.147974414184,0,0,0,70, -6.8, -0.2,0,0,1024,1024,749,1421,0,0,-42,60,70,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
500,2022-06-18 13:16:44,4.52534290858202,-73.7734256504109,0,,,10834.583218754,0.328084,0,0.17436680348,0.268978355064,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.7, -6.7, 0,0,0,1024,1024,1024,1220,0,0,0,30,69.9,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
600,2022-06-18 13:16:44,4.52534315764394,-73.7734255653467,0,,,10834.583218754,0.328084,0,0.078428808284,0.36497048412,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.5, -7.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,69.8,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
700,2022-06-18 13:16:44,4.52534317731585,-73.7734256020982,0,,,10834.583218754,0.328084,0,0.076638453896,0.38014436912,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,70.6, -7.7, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,69.9,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
800,2022-06-18 13:16:44,4.52534292211032,-73.7734255434225,0,,,10834.583218754,0.328084,0,0.16192421778,0.47566930656,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,71.8, -7.5, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,70.4,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
900,2022-06-18 13:16:44,4.52534291598811,-73.7734255779977,0,,,10834.583218754,0.328084,0,0.165661422624,0.48844161668,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,72, -7.6, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,71,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
1000,2022-06-18 13:16:44,4.52534303797786,-73.7734256963572,0,,,10834.583218754,0.328084,0,0.137706369236,0.55036091,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.7, -7.9, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,70.8,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
1100,2022-06-18 13:16:44,4.52534304305865,-73.7734257566315,0,,,10834.583218754,0.328084,0,0.148450792152,0.57236222304,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.7, -8, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,70.4,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,41,Motors_Started,
1200,2022-06-18 13:16:44,4.52534319265558,-73.7734257103857,0,,,10834.583218754,0.328084,0,0.097153546416,0.62947508576,9,4,0,10834.583218754,0,0,0.17436680348,0,0,0,69.1, -7.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,69.9,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1300,2022-06-18 13:16:45,4.52534319145093,-73.7734257938522,0,,,10834.583218754,0.328084,0,0.122164373988,0.65983597912,9,4,0,10834.583218754,0,0,0.17436680348,0,0,-0.223694,69.4, -6.5, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,69.6,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1400,2022-06-18 13:16:45,4.52534327740583,-73.7734260962386,0,,,10834.583218754,0.328084,0,0.21692750038,0.77420278068,9,4,0,10834.583218754,0,0,0.21692750038,0,0,0,69.3, -5.1, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,69.5,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1500,2022-06-18 13:16:45,4.52534326410449,-73.773426207397,0,,,10834.583218754,0.328084,0,0.25763452268,0.81492128592,9,4,0,10834.583218754,0,0,0.25763452268,0,0,0,68.7, -4.4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,69.3,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1600,2022-06-18 13:16:45,4.52534315472518,-73.7734262190506,0,,,10834.583218754,0.328084,0,0.270310376104,0.8550525208,9,4,0,10834.583218754,0,0,0.270310376104,0,0,0,67.4, -4.7, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,68.7,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1700,2022-06-18 13:16:45,4.52534311235832,-73.7734263277203,0,,,10834.583218754,0.328084,0,0.312614511316,0.89749346704,9,4,0,10834.583218754,0,0,0.312614511316,0,0,0,66.4, -4.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,67.9,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1800,2022-06-18 13:16:45,4.52534291513658,-73.773426433825,0,,,10834.583218754,0.328084,0,0.37508531384,0.97914373212,9,4,16.04,10834.583218754,0,0,0.37508531384,0,0,0,66.5, -4.5, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,67.4,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
1900,2022-06-18 13:16:45,4.5253428282703,-73.773426546201,0,,,10834.583218754,0.328084,0,0.42583006612,1.03086617472,9,4,16.04,10834.583218754,0,0,0.42583006612,0,0,0,66.5, -5, 2,0,0,1024,1024,1024,1024,0,0,0,0,67.3,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,"Home Point recorded. Return-to-Home Altitude:90M"
2000,2022-06-18 13:16:45,4.52534269840249,-73.773426339275,0,,,10834.583218754,0.328084,0,0.38838255836,1.1197999046,9,4,16.04,10834.583218754,0,0,0.42583006612,0,0,0,66.3, -5.1, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,67.2,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2100,2022-06-18 13:16:45,4.52534262338782,-73.7734264303592,0,,,10834.583218754,0.328084,0,0.431348439,1.16277234692,9,4,16.04,10834.583218754,0,0,0.431348439,0,0,0,66.4, -4.9, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,67.1,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2200,2022-06-18 13:16:45,4.52534278439809,-73.7734265736717,0,,,10834.583218754,0.328084,0,0.44216208764,1.241305814,9,4,16.04,10834.583218754,0,0,0.44216208764,0,0,0,66.3, -4.7, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,67.1,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2300,2022-06-18 13:16:45,4.52534274555526,-73.7734266766124,0,,,10834.583218754,0.328084,0,0.48185040912,1.28134190452,9,4,16.04,10834.583218754,0,0,0.48185040912,0,0,0,66.5, -4.8, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2400,2022-06-18 13:16:46,4.52534291136695,-73.7734266535984,0,,,10834.583218754,0.328084,0,0.4488517204,1.34241146028,9,4,16.04,10834.583218754,0,0,0.48185040912,0,0,0,66.3, -4.6, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2500,2022-06-18 13:16:46,4.52534288521593,-73.7734267414455,0,,,10834.583218754,0.328084,0,0.48208006792,1.37575791804,9,4,16.04,10834.583218754,0,0,0.48208006792,0,0,0,66.1, -4.3, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2600,2022-06-18 13:16:46,4.52534280568024,-73.7734266953971,0,,,10834.583218754,0.328084,0,0.47814305992,1.40926185612,9,4,16.04,10834.583218754,0,0,0.48208006792,0,0,0,66, -4.2, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2700,2022-06-18 13:16:46,4.52534277415676,-73.773426773038,0,,,10834.583218754,0.328084,0,0.50859253596,1.43975398308,9,4,16.04,10834.583218754,0,0,0.50859253596,0,0,0,66, -4, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.028,4.021,4.007,3.984,0,0,0,32,10834.583218754,0,6,P-GPS,
2800,2022-06-18 13:16:46,4.52534267307187,-73.773426610609,0,,,10834.583218754,0.328084,0,0.47429791544,1.5093996546,9,4,16.592,10834.583218754,0,0,0.50859253596,0,0,0,65.9, -3.6, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
2900,2022-06-18 13:16:46,4.52534263867086,-73.7734266836652,0,,,10834.583218754,0.328084,0,0.50348754892,1.53878613848,9,4,16.592,10834.583218754,0,0,0.50859253596,0,0,0,65.7, -3.2, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3000,2022-06-18 13:16:46,4.5253427230278,-73.7734267386722,0,,,10834.583218754,0.328084,0,0.50565290332,1.57549545724,9,4,16.592,10834.583218754,0,0,0.50859253596,0,0,0,65.7, -3, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,67,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3100,2022-06-18 13:16:46,4.5253427110879,-73.773426806444,0,,,10834.583218754,0.328084,0,0.52957350776,1.6005249856,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0,65.7, -2.7, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,66.9,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3200,2022-06-18 13:16:46,4.52534263082867,-73.7734266796744,0,,,10834.583218754,0.328084,0,0.50376970116,1.65514440992,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0,64.7, -2.2, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,66.9,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3300,2022-06-18 13:16:46,4.52534260232401,-73.7734267135646,0,,,10834.583218754,0.328084,0,0.51974083028,1.67127301936,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0,62, -0.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,66.7,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3400,2022-06-18 13:16:47,4.52534263857399,-73.7734265299629,0,,,10834.583218754,0.328084,0,0.4569061826,1.73934716852,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0.223694,59.1, 0.3, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,66.3,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3500,2022-06-18 13:16:47,4.52534258938977,-73.773426503583,0,,,10834.583218754,0.328084,0,0.45993111708,1.75969821904,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0.223694,57.5, 1.2, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,65.7,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3600,2022-06-18 13:16:47,4.52534256691422,-73.7734265230839,0,,,10834.583218754,0.328084,0,0.4705708812,1.7705381144,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0.223694,58.2, 1.4, -2,0,0,1024,1024,1024,1024,0,0,0,0,65.1,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3700,2022-06-18 13:16:47,4.52534253857281,-73.7734265141768,0,,,10834.583218754,0.328084,0,0.4745242934,1.78137472892,9,4,16.592,10834.583218754,0,0,0.52957350776,0,0,0.223694,60, 0.6, -3.2,0,0,1024,1024,1024,1024,0,0,0,0,64.8,0,96,4.146,4.153,4.148,4.145,0,0,0,32,10834.583218754,0,6,P-GPS,
3800,2022-06-18 13:16:47,4.52534257546715,-73.7734264782102,0,,,10834.583218754,0.328084,0,0.45587599884,1.80014441456,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0.223694,61, 0.4, -4.8,0,0,1024,1024,1024,1024,0,0,0,0,64.6,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.583218754,0,6,P-GPS,
3900,2022-06-18 13:16:47,4.52534261637517,-73.7734264505279,-0.328084,,,10834.255134754,0.328084,0,0.43867783556,1.81814966448,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0.447388,61.3, -0.2, -5.3,0,0,1024,1024,1024,1024,0,0,0,0,64.5,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
4000,2022-06-18 13:16:47,4.52534280561662,-73.773426596633,-0.328084,,,10834.255134754,0.328084,0,0.44592193028,1.90527565152,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0.223694,61.7, -0.2, -5.5,0,0,1024,1024,1024,1024,0,0,0,0,64.4,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
4100,2022-06-18 13:16:47,4.52534289030375,-73.7734265566251,-0.328084,,,10834.255134754,0.328084,0,0.41937009216,1.93942919592,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0.223694,63, 2.3, -5,0,0,1024,1024,1024,1024,0,0,0,0,64.4,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
4200,2022-06-18 13:16:47,4.52534313577851,-73.7734266546774,-0.328084,,,10834.255134754,0.328084,0,0.4259514572,2.03583011764,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0.223694,65, 4.8, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,64.4,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
4300,2022-06-18 13:16:48,4.52534323723907,-73.773426618656,-0.328084,,,10834.255134754,0.328084,0,0.40725395004,2.0750984916,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0.223694,67, 3.9, -2.8,0,0,1024,1024,1024,1024,0,0,0,0,64.5,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
4400,2022-06-18 13:16:48,4.52534326277841,-73.7734266584201,-0.328084,,,10834.255134754,0.328084,0,0.4207021132,2.09230321656,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0,68.3, 1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,64.6,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
4500,2022-06-18 13:16:48,4.5253433549588,-73.7734266383878,-0.656168,,,10833.927050754,0.328084,0,0.4117946326,2.12671266648,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0,68.2, 1.4, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,64.7,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10833.927050754,-0.656168,6,P-GPS,
4600,2022-06-18 13:16:48,4.52534347542602,-73.7734267155434,-0.656168,,,10833.927050754,0.328084,0,0.44170605088,2.17886161828,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0,69.1, 1.3, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,64.9,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10833.927050754,-0.656168,6,P-GPS,
4700,2022-06-18 13:16:48,4.5253435453444,-73.7734267540052,-0.656168,,,10833.927050754,0.328084,0,0.45860893856,2.20795282656,9,4,16.63,10834.583218754,0,0,0.52957350776,0,0,0,70.3, 1.5, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,65.1,0,96,4.155,4.162,4.159,4.154,0,0,0,32,10833.927050754,-0.656168,6,P-GPS,
4800,2022-06-18 13:16:48,4.52534349689014,-73.7734266030944,-0.656168,,,10833.927050754,0.328084,0,0.40186352992,2.26562015124,9,4,16.553,10834.583218754,0,0,0.52957350776,0,0,0,70.7, 1.4, -1,0,0,1024,1024,1024,1024,0,0,0,0,65.4,0,96,4.136,4.144,4.139,4.134,0,0,0,32,10833.927050754,-0.656168,6,P-GPS,
4900,2022-06-18 13:16:48,4.52534356815657,-73.7734266148144,-0.656168,,,10833.927050754,0.328084,0,0.41000329396,2.29196857728,9,4,16.553,10834.583218754,0,0,0.52957350776,0,0,0,71.2, 0.4, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,65.7,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10833.927050754,-0.656168,6,P-GPS,
5000,2022-06-18 13:16:48,4.5253435721558,-73.7734268027505,-0.328084,,,10834.255134754,0.328084,0,0.47761484468,2.36033800204,9,4,16.553,10834.583218754,0,0,0.52957350776,0,0,0,72.1, -0.2, -2.5,0,0,1024,1024,1024,1024,0,0,0,0,66,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5100,2022-06-18 13:16:48,4.52534364234871,-73.7734268316374,-0.328084,,,10834.255134754,0.328084,0,0.49262140684,2.38801844912,9,4,16.553,10834.583218754,0,0,0.52957350776,0,0,0,72.5, -0.3, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,66.4,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5200,2022-06-18 13:16:48,4.5253435578885,-73.7734268896099,-0.328084,,,10834.255134754,0.328084,0,0.50808400576,2.42535768916,9,4,16.553,10834.583218754,0,0,0.52957350776,0,0,0,71.5, -0.3, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,66.7,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5300,2022-06-18 13:16:49,4.52534362820128,-73.77342691815,-0.328084,,,10834.255134754,0.328084,0,0.52247705084,2.45303157456,9,4,16.553,10834.583218754,0,0,0.52957350776,0,0,0,71.3, -0.3, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,66.9,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5400,2022-06-18 13:16:49,4.52534369914234,-73.7734270364536,-0.328084,,,10834.255134754,0.328084,0,0.56980644868,2.50324483076,9,4,16.553,10834.583218754,0,0,0.56980644868,0,0,0,71, -0.6, -2.4,0,0,1024,1024,1024,1024,0,0,0,0,67.1,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5500,2022-06-18 13:16:49,4.52534376769979,-73.7734270661898,-0.328084,,,10834.255134754,0.328084,0,0.58614831272,2.5304954878,9,4,16.553,10834.583218754,0,0,0.58614831272,0,0,0,70.9, -0.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,67.2,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5600,2022-06-18 13:16:49,4.52534363419932,-73.7734271202616,-0.328084,,,10834.255134754,0.328084,0,0.5952428012,2.58302501704,9,4,16.553,10834.583218754,0,0,0.5952428012,0,0,0,70.6, -1.3, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,67.3,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5700,2022-06-18 13:16:49,4.5253436636164,-73.7734271419088,-0.328084,,,10834.255134754,0.328084,0,0.60485238156,2.59633538492,9,4,16.553,10834.583218754,0,0,0.60485238156,0,0,0,69.9, -1.5, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,67.4,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5800,2022-06-18 13:16:49,4.52534379752143,-73.7734272147482,-0.328084,,,10834.255134754,0.328084,0,0.6411909654,2.65191281452,9,4,16.553,10834.583218754,0,0,0.6411909654,0,0,0,69.5, -1.3, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,67.5,0,95,4.136,4.144,4.139,4.134,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
5900,2022-06-18 13:16:49,4.52534379204837,-73.7734272601448,-0.328084,,,10834.255134754,0.328084,0,0.65672902364,2.66854339248,9,4,16.611,10834.583218754,0,0,0.65672902364,0,0,0,69.2, -1, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,67.5,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6000,2022-06-18 13:16:49,4.52534376407246,-73.7734272268591,-0.328084,,,10834.255134754,0.328084,0,0.64258204156,2.68437672632,9,4,16.611,10834.583218754,0,0,0.65672902364,0,0,0,68.9, -1, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,67.5,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6100,2022-06-18 13:16:49,4.52534375901308,-73.773427281631,-0.328084,,,10834.255134754,0.328084,0,0.66159450936,2.70438328864,9,4,16.611,10834.583218754,0,0,0.66159450936,0,0,0,68.9, -1.1, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,67.5,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6200,2022-06-18 13:16:49,4.52534382236881,-73.7734272543921,-0.328084,,,10834.255134754,0.328084,0,0.65742128088,2.72953420808,9,4,16.611,10834.583218754,0,0,0.66159450936,0,0,0,69.1, -1.1, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,67.5,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6300,2022-06-18 13:16:49,4.52534382248334,-73.7734272974321,-0.328084,,,10834.255134754,0.328084,0,0.67258204252,2.74518709572,9,4,16.611,10834.583218754,0,0,0.67258204252,0,0,0,69.3, -1.3, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,67.6,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6400,2022-06-18 13:16:50,4.52534399174948,-73.7734273631198,-0.328084,,,10834.255134754,0.328084,0,0.71311025904,2.81140428944,9,4,16.611,10834.583218754,0,0,0.71311025904,0,0,0,69.5, -1.4, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,67.6,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6500,2022-06-18 13:16:50,4.52534402964616,-73.7734273980922,-0.328084,,,10834.255134754,0.328084,0,0.72964897348,2.83019366012,9,4,16.611,10834.583218754,0,0,0.72964897348,0,0,0,69.3, -1.3, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,67.6,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6600,2022-06-18 13:16:50,4.52534403344846,-73.7734274209172,-0.328084,,,10834.255134754,0.328084,0,0.737942937,2.83860901472,9,4,16.611,10834.583218754,0,0,0.737942937,0,0,0,69.1, -1.2, -1,0,0,1024,1024,1024,1024,0,0,0,0,67.7,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6700,2022-06-18 13:16:50,4.5253440737437,-73.7734274422165,-0.328084,,,10834.255134754,0.328084,0,0.75020015524,2.85522646932,9,4,16.611,10834.583218754,0,0,0.75020015524,0,0,0,68.8, -0.9, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,67.7,0,95,4.15,4.158,4.154,4.149,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6800,2022-06-18 13:16:50,4.52534423178171,-73.7734274956484,-0.328084,,,10834.255134754,0.328084,0,0.78976052396,2.91607292796,9,4,16.631,10834.583218754,0,0,0.78976052396,0,0,0,68.6, -0.9, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,67.7,0,95,4.156,4.164,4.158,4.153,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
6900,2022-06-18 13:16:50,4.52534431352708,-73.7734275153137,-0.328084,,,10834.255134754,0.328084,0,0.80863519648,2.94674550112,9,4,16.631,10834.583218754,0,0,0.80863519648,0,0,0,68.4, -1.1, -1,0,0,1024,1024,1053,1024,0,0,4,0,67.7,0,95,4.156,4.164,4.158,4.153,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
7000,2022-06-18 13:16:50,4.5253444160339,-73.7734274356973,-0.328084,,,10834.255134754,0.328084,0,0.79981629856,2.9940453714,9,4,16.631,10834.583218754,0,0,0.80863519648,0,0,0,68.1, -1.5, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,67.7,0,95,4.156,4.164,4.158,4.153,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
7100,2022-06-18 13:16:50,4.52534452090449,-73.7734274487863,-0.328084,,,10834.255134754,0.328084,0,0.82294622056,3.03260180308,9,4,16.631,10834.583218754,0,0,0.82294622056,0,0,0,67.7, -1.4, -1.9,0,0,1024,1024,1077,1024,0,0,8,0,67.7,0,95,4.156,4.164,4.158,4.153,0,0,0,32,10834.255134754,-0.328084,6,P-GPS,
