,Y,X
0,-107,159.359
1,-107,159.359
2,-96,268.208
3,-96,268.208
4,-101,535.505
5,-101,535.505
6,-95,227.96099999999998
7,-105,491.952
8,-105,491.952
9,-103,376.287
10,-103,400.31699999999995
11,-103,400.31699999999995
12,-103,596.3629999999999
13,-103,596.3629999999999
14,-108,443.13
15,-108,443.13
16,-102,473.96700000000004
17,-102,473.96700000000004
18,-108,159.48399999999998
19,-108,159.48399999999998
20,-103,535.6379999999999
21,-103,535.6379999999999
22,-87,74.517
23,-87,74.517
24,-104,678.237
25,-104,678.237
26,-96,228.072
27,-101,492.072
28,-101,492.072
29,-99,268.347
30,-99,268.347
31,-105,400.45300000000003
32,-105,400.45300000000003
33,-107,596.502
34,-107,596.502
35,-103,443.221
36,-103,443.221
37,-105,474.105
38,-105,474.105
39,-99,159.349
40,-99,159.349
41,-82,74.82900000000001
42,-82,74.82900000000001
43,-111,678.224
44,-111,678.224
45,-107,302.625
46,-107,302.625
47,-94,228.34799999999998
48,-111,491.906
49,-111,491.906
50,-107,376.664
51,-94,268.397
52,-94,268.397
53,-102,400.58
54,-102,400.58
55,-105,535.7969999999999
56,-105,535.7969999999999
57,-105,596.568
58,-105,596.568
59,-97,442.95
60,-97,442.95
61,-103,474.113
62,-103,474.113
63,-98,154.635
64,-98,154.635
65,-83,72.054
66,-83,72.054
67,-110,298.54
68,-110,298.54
69,-96,224.978
70,-104,487.321
71,-104,487.321
72,-96,263.55
73,-96,263.55
74,-103,395.994
75,-103,395.994
76,-104,531.38
77,-104,531.38
78,-108,591.758
79,-108,591.758
80,-97,439.161
81,-97,439.161
82,-108,469.19899999999996
83,-108,469.19899999999996
84,-99,152.309
85,-99,152.309
86,-83,70.726
87,-83,70.726
88,-109,296.542
89,-109,296.542
90,-96,223.29399999999998
91,-103,485.06
92,-103,485.06
93,-96,261.13399999999996
94,-96,261.13399999999996
95,-105,393.702
96,-105,393.702
97,-104,529.1700000000001
98,-104,529.1700000000001
99,-96,437.313
100,-96,437.313
101,-109,466.754
102,-109,466.754
103,-109,589.3589999999999
104,-105,529.084
105,-105,529.084
106,-99,152.044
107,-99,152.044
108,-83,70.81099999999999
109,-83,70.81099999999999
110,-108,296.244
111,-96,223.32
112,-102,484.784
113,-102,484.784
114,-96,260.971
115,-96,260.971
116,-102,393.592
117,-102,393.592
118,-109,589.2049999999999
119,-109,589.2049999999999
120,-96,437.01099999999997
121,-96,437.01099999999997
122,-108,466.563
123,-108,466.563
124,-83,70.925
125,-83,70.925
126,-96,223.412
